зябкасць_NOUN спёка_NOUN
вянуць_VERB квітнець_VERB
жыццё_NOUN згіненне_NOUN
воля_NOUN прыгнёт_NOUN
зямны_ADJ незвычайны_ADJ
моцны_ADJ нядошлы_ADJ
адвыкнуць_VERB зжыцца_VERB
зацвярдзелы_ADJ мяккі_ADJ
пячыся_VERB стыць_VERB
адвыкнуць_VERB уцягнуцца_VERB
ачуняць_VERB занядужаць_VERB
будучае_ADJ гісторыя_NOUN
багата_ADV мала_ADV
холад_NOUN цеплыня_NOUN
занядбаць_VERB падняць_VERB
вясёлы_ADJ невясёлы_ADJ
вясёлы_ADJ замаркочаны_ADJ
лажыцца_VERB паднімацца_VERB
вясёлы_ADJ тужлівы_ADJ
аддаць_VERB узяць_VERB
будучае_ADJ даўняе_ADJ
жаласлівы_ADJ радасны_ADJ
мяккі_ADJ скамянелы_ADJ
лёгкі_ADJ масіўны_ADJ
мажны_ADJ пахудзелы_ADJ
нешчаслівы_ADJ памысны_ADJ
незвычайны_ADJ прывычны_ADJ
ахалоджваць_VERB паліць_VERB
грандыёзны_ADJ малы_ADJ
можна_ADV нельга_ADV
небяспечны_ADJ несур'ёзны_ADJ
ашчасліўлены_ADJ нешчаслівы_ADJ
воля_NOUN прыгон_NOUN
радасны_ADJ сумны_ADJ
засмучаць_VERB цешыць_VERB
даўні_ADJ малады_ADJ
звычайны_ADJ неймаверны_ADJ
бегла_ADV марудна_ADV
зарабіць_VERB змарнаваць_VERB
нудота_NOUN радасць_NOUN
марудна_ADV паспешліва_ADV
узмацняцца_VERB цішэць_VERB
водар_NOUN смурод_NOUN
адвага_NOUN баязлівасць_NOUN
адзяваць_VERB звальваць_VERB
свежасць_NOUN спёка_NOUN
марудна_ADV мігам_ADV
схаладнелы_ADJ цёплы_ADJ
пакінуць_VERB прыпусціць_VERB
вясёлы_ADJ засмучаны_ADJ
гора_NOUN шчасце_NOUN
нараджэнне_NOUN скон_NOUN
звычайны_ADJ сенсацыйны_ADJ
ачуняць_VERB занемагчы_VERB
многа_ADV небагата_ADV
адраджаць_VERB знімаць_VERB
гібель_NOUN нараджэнне_NOUN
брыдкі_ADJ чароўны_ADJ
абваліцца_VERB устаць_VERB
бляклы_ADJ ясны_ADJ
гарачы_ADJ свежы_ADJ
змяркацца_VERB развіднівацца_VERB
знікнуць_VERB нарадзіцца_VERB
добры_ADJ дрэнны_ADJ
літасцівы_ADJ нялюдскі_ADJ
прывітанне_NOUN расстанне_NOUN
змяркацца_VERB развідніваць_VERB
святло_NOUN цемната_NOUN
стары_ADJ юнацкі_ADJ
многа_ADV нямнога_ADV
магчымы_ADJ незвычайны_ADJ
кепскі_ADJ прыўдалы_ADJ
вядомы_ADJ незнаёмы_ADJ
трагічны_ADJ шчаслівы_ADJ
невядомы_ADJ праслаўлены_ADJ
запальвацца_VERB патухаць_VERB
марудна_ADV умомант_ADV
вянуць_VERB красавацца_VERB
прарасці_VERB сысці_VERB
вялікі_ADJ ціхі_ADJ
зябкі_ADJ цёплы_ADJ
загана_NOUN кошт_NOUN
бедны_ADJ заможны_ADJ
бог_NOUN шайтан_NOUN
будучае_ADJ старасветчына_NOUN
бясспрэчны_ADJ уяўны_ADJ
заўсёдашні_ADJ незвычайны_ADJ
нядаўні_ADJ пракіслы_ADJ
хцівы_ADJ шчодры_ADJ
дадолу_ADV уверх_ADV
загарацца_VERB патухаць_VERB
важны_ADJ дробязны_ADJ
непрытворны_ADJ фальшывы_ADJ
журбота_NOUN радасць_NOUN
бягом_ADV марудна_ADV
звадка_NOUN згода_NOUN
незвычайны_ADJ штодзённы_ADJ
знімаць_VERB папраўляць_VERB
непадробны_ADJ фальшывы_ADJ
добры_ADJ раззлаваны_ADJ
мала_ADV нямала_ADV
настылы_ADJ цёплы_ADJ
неадукаваны_VERB перадавы_ADJ
будаваць_VERB разбураць_VERB
нешчаслівец_NOUN удачнік_NOUN
асатанелы_ADJ добры_ADJ
апраўдваць_VERB вінаваціць_VERB
палепшыць_VERB сапсаваць_VERB
дрэнны_ADJ харошы_ADJ
пан_NOUN служка_NOUN
вярнуць_VERB забраць_VERB
адстаць_VERB выперадзіць_VERB
смешны_ADJ сумны_ADJ
віднець_VERB змяркацца_VERB
магутнасць_NOUN слабасць_NOUN
прыхільнік_NOUN сапернік_NOUN
мінулае_ADJ новае_ADJ
бязрадасны_ADJ вясёлы_ADJ
адыход_NOUN набліжэнне_NOUN
марудна_ADV скора_ADV
загарацца_VERB затухаць_VERB
нявер'е_NOUN упэўненасць_NOUN
абвінавачваць_VERB бараніць_VERB
высакаякасны_ADJ кепскі_ADJ
гутарлівы_ADJ маўклівы_ADJ
няшчасны_ADJ шчаслівы_ADJ
прычытаць_VERB смяяцца_VERB
марудна_ADV уміг_ADV
змоклы_ADJ сухі_ADJ
вялікі_ADJ нязначны_ADJ
гарачы_ADJ схаладнелы_ADJ
гарачы_ADJ марозны_ADJ
вясёлы_ADJ смутны_ADJ
кірпаты_ADJ насаты_ADJ
валіцца_VERB уставаць_VERB
цесны_ADJ шырокі_ADJ
безліч_ADV мала_ADV
воля_NOUN падняволле_NOUN
агледзецца_VERB адвыкнуць_VERB
значны_ADJ малы_ADJ
баязлівы_ADJ бясстрашны_ADJ
рэчаіснасць_NOUN сон_NOUN
дужы_ADJ слабы_ADJ
радзімы_ADJ чужы_ADJ
друг_NOUN ліхадзей_NOUN
памерці_VERB правесці_VERB
звычайны_ADJ небывалы_ADJ
адрознівацца_VERB сходзіцца_VERB
маркота_NOUN радасць_NOUN
бяспечны_ADJ страшны_ADJ
бляклы_ADJ выразны_ADJ
адштурхнуцца_VERB прыльнуць_VERB
гнеўны_ADJ добры_ADJ
варты_ADJ кепскі_ADJ
баязлівы_ADJ стойкі_ADJ
развесціся_VERB сысціся_VERB
жар_NOUN зябкасць_NOUN
згуба_NOUN нараджэнне_NOUN
спадаць_VERB узлятаць_VERB
дужы_ADJ хворы_ADJ
вынослівы_ADJ слабы_ADJ
адзяваць_VERB страсаць_VERB
будні_ADJ незвычайны_ADJ
дужы_ADJ зняможаны_ADJ
адкрыта_ADV тайна_ADV
досвітак_NOUN змярканне_NOUN
гарачыня_NOUN стынь_NOUN
знарок_ADV несвядома_ADV
апраўдваць_VERB вініць_VERB
засмучаны_ADJ радасны_ADJ
кепскі_ADJ удалы_ADJ
горнасць_NOUN радасць_NOUN
марудна_ADV паспешна_ADV
адсталы_ADJ прагрэсіўны_ADJ
парадак_NOUN хаос_NOUN
звычны_ADJ незвычайны_ADJ
днець_VERB змяркацца_VERB
воля_NOUN прыгнечанасць_NOUN
даваць_VERB падбіраць_VERB
звычайны_ADJ нечуваны_ADJ
вываліцца_VERB устаць_VERB
пудлівы_ADJ смелы_ADJ
бура_NOUN цішыня_NOUN
праўдзівы_ADJ фальшывы_ADJ
звычайны_ADJ унікальны_ADJ
беднасць_NOUN заможнасць_NOUN
рассаджвацца_VERB уставаць_VERB
незвычайны_ADJ просты_ADJ
вядомы_ADJ неразгаданы_VERB
стаміцца_VERB супачыць_VERB
нудны_ADJ радасны_ADJ
баявы_ADJ баязлівы_ADJ
памешчык_NOUN слуга_NOUN
журботнасць_NOUN радасць_NOUN
многа_ADV трошкі_ADV
кашчавы_ADJ мажны_ADJ
змяркацца_VERB рассвітаць_VERB
блішчаць_VERB знікаць_VERB
сядаць_VERB уставаць_VERB
пагаршаць_VERB правіць_VERB
жыццё_NOUN скон_NOUN
нараджэнне_NOUN скананне_NOUN
абвыкнуць_VERB адвыкнуць_VERB
апраўдваць_VERB валіць_VERB
льга_ADV няможна_ADV
баязлівы_ADJ мужны_ADJ
моцны_ADJ надарваны_ADJ
бяздзейны_ADJ інтэнсіўны_ADJ
злы_ADJ прыўдалы_ADJ
бесспагадны_ADJ літасцівы_ADJ
друг_NOUN праціўнік_NOUN
стылы_ADJ цёплы_ADJ
абаронны_ADJ цывільны_ADJ
павольна_ADV хутка_ADV
адвыкнуць_VERB прыжыцца_VERB
спёка_NOUN халадэча_NOUN
выдатны_ADJ кепскі_ADJ
брыдкі_ADJ ненаглядны_ADJ
святло_NOUN цем_NOUN
будучае_ADJ мінуласць_NOUN
бліснуць_VERB згінуць_VERB
з'явіцца_VERB прапасці_VERB
дужы_ADJ змардаваны_ADJ
вядомы_ADJ нейкі_DET
гіганцкі_ADJ малы_ADJ
адкормлены_ADJ галодны_ADJ
далёка_ADV непадалёк_ADV
маёмасць_NOUN страта_NOUN
прычытваць_VERB смяяцца_VERB
бяда_NOUN шчасце_NOUN
варты_ADJ злы_ADJ
руйнаваць_VERB ствараць_VERB
звычайны_ADJ надзвычайны_ADJ
аслаблы_ADJ моцны_ADJ
кепскі_ADJ неблагі_ADJ
засмяяцца_VERB хліпнуць_VERB
засмяяцца_VERB расплакацца_VERB
апасці_VERB узляцець_VERB
адштурхнуцца_VERB прыхінуцца_VERB
сумны_ADJ уцешны_ADJ
бязлітасны_ADJ міласэрны_ADJ
вялізны_ADJ малы_ADJ
стынь_NOUN цяпло_NOUN
гаснуць_VERB запальвацца_VERB
галодны_ADJ тлусты_ADJ
абыклы_ADJ незвычайны_ADJ
тайна_ADV шумна_ADV
наследнік_NOUN продак_NOUN
пачатак_NOUN сканчэнне_NOUN
бесспагадлівы_ADJ літасцівы_ADJ
марудна_ADV ураз_ADV
павялічвацца_VERB памяншацца_VERB
жар_NOUN стыласць_NOUN
вясёлы_ADJ журботны_ADJ
дрэнны_ADJ спраўны_ADJ
пухкі_ADJ цвёрды_ADJ
абвінаваціць_VERB заступіцца_VERB
апускацца_VERB уставаць_VERB
рэчаіснасць_NOUN фантазія_NOUN
прагорклы_ADJ салодкі_ADJ
мажны_ADJ схуднелы_ADJ
будучы_ADJ ранейшы_ADJ
спачнуць_VERB стаміцца_VERB
бліснуць_VERB запрапасціцца_VERB
знікнуць_VERB узнікнуць_VERB
загарэцца_VERB патухнуць_VERB
народ_NOUN нелюдзі_NOUN
горыч_NOUN радасць_NOUN
дасвецце_NOUN змярканне_NOUN
звычайны_ADJ нязвыклы_ADJ
беспарадак_NOUN звычай_NOUN
будучае_ADJ былое_ADJ
дужы_ADJ стомлены_ADJ
быстра_ADV марудна_ADV
апраўдваць_VERB узвальваць_VERB
друг_NOUN непрыхільнік_NOUN
звычайны_ADJ нябесны_ADJ
неабвержны_ADJ фальшывы_ADJ
незвычайны_ADJ непрыметны_ADJ
неразбярыха_NOUN парадак_NOUN
жар_NOUN свежасць_NOUN
звычайны_ADJ немагчымы_ADJ
марудна_ADV улёт_ADV
добры_ADJ разгневаны_ADJ
адданасць_NOUN здрада_NOUN
ачуньваць_VERB ляжаць_VERB
нуда_NOUN радасць_NOUN
кепскі_ADJ нядрэнны_ADJ
бог_NOUN шатан_NOUN
жар_NOUN халадзеча_NOUN
адштурхнуцца_VERB прыгарнуцца_VERB
дужы_ADJ нетрывалы_ADJ
натуральны_ADJ незвычайны_ADJ
далёка_ADV побач_ADV
адгадка_NOUN галаваломка_NOUN
адбудоўваць_VERB знімаць_VERB
няцяжкі_ADJ цяжкі_ADJ
вядомы_ADJ нязведаны_VERB
дружба_NOUN раз'яднанне_NOUN
няўцешны_ADJ радасны_ADJ
парадак_NOUN сумбур_NOUN
добры_ADJ злосны_ADJ
злы_ADJ някепскі_ADJ
тайны_ADJ ясны_ADJ
буйны_ADJ малы_ADJ
пан_NOUN прыслуга_NOUN
жорсткасць_NOUN спачуванне_NOUN
моцны_ADJ стомлены_ADJ
лёцьма_ADV марудна_ADV
марудна_ADV неўзабаве_ADV
выдатны_ADJ злы_ADJ
баязлівасць_NOUN храбрасць_NOUN
знімаць_VERB рэстаўрыраваць_VERB
дубянець_VERB пячыся_VERB
незвычайны_ADJ празаічны_ADJ
вязаць_VERB распаўсюджваць_VERB
вянуць_VERB красаваць_VERB
пушысты_ADJ цвёрды_ADJ
вясёлы_ADJ нярадасны_ADJ
несур'ёзны_ADJ строгі_ADJ
радасны_ADJ тужлівы_ADJ
бог_NOUN люцыпар_NOUN
абараняць_VERB вінаваціць_VERB
магчымасць_NOUN фантазія_NOUN
рэчаіснасць_NOUN хлусня_NOUN
азябнуць_VERB спячыся_VERB
непадроблены_ADJ фальшывы_ADJ
звычайны_ADJ нябачаны_ADJ
мокры_ADJ перасохлы_ADJ
даць_VERB забраць_VERB
небарака_NOUN шчаслівец_NOUN
друг_NOUN непрыяцель_NOUN
загарацца_VERB згасаць_VERB
злы_ADJ удалы_ADJ
даваць_VERB забіраць_VERB
малады_ADJ ранейшы_ADJ
згіненне_NOUN нараджэнне_NOUN
адмоўны_ADJ добры_ADJ
вастраносы_ADJ мажны_ADJ
кананне_NOUN нараджэнне_NOUN
балбатлівы_ADJ маўклівы_ADJ
зверскі_ADJ літасцівы_ADJ
адзяваць_VERB змахваць_VERB
дзейны_ADJ пасіўны_ADJ
бог_NOUN дэман_NOUN
прыход_NOUN расстанне_NOUN
празябнуць_VERB спячыся_VERB
бяздушны_ADJ літасцівы_ADJ
загарацца_VERB тухнуць_VERB
запалаць_VERB патухнуць_VERB
бяссільны_ADJ моцны_ADJ
аддаць_VERB прыняць_VERB
адкрываць_VERB засланяць_VERB
магутны_ADJ слабы_ADJ
слабы_ADJ цягавіты_ADJ
агромністы_ADJ малы_ADJ
пудкі_NOUN смелы_ADJ
характар_NOUN цела_NOUN
армейскі_ADJ цывільны_ADJ
дужы_ADJ стамлёны_ADJ
змарнаваць_VERB памерці_VERB
арамат_NOUN смурод_NOUN
журботны_ADJ радасны_ADJ
вясёлы_ADJ панылы_ADJ
змярканне_NOUN золак_NOUN
грызня_NOUN згода_NOUN
вечарэць_VERB світаць_VERB
ападаць_VERB узлятаць_VERB
злосць_NOUN любоў_NOUN
кепскі_ADJ станоўчы_ADJ
баязлівы_ADJ харобры_ADJ
баязлівасць_NOUN гераізм_NOUN
адзяваць_VERB ссыпаць_VERB
жыццё_NOUN скананне_NOUN
вываліцца_VERB узляцець_VERB
грузны_ADJ лёгкі_ADJ
